start
vertice: 2: pai:-1 nivel:0
vertice: 0: pai:2 nivel:1
vertice: 21: pai:2 nivel:1
vertice: 9: pai:2 nivel:1
vertice: 5: pai:2 nivel:1
vertice: 26: pai:2 nivel:1
vertice: 4: pai:2 nivel:1
vertice: 197: pai:2 nivel:1
vertice: 764: pai:2 nivel:1
vertice: 5523: pai:2 nivel:1
vertice: 5518: pai:2 nivel:1
vertice: 5661: pai:2 nivel:1
vertice: 5722: pai:2 nivel:1
vertice: 5749: pai:2 nivel:1
vertice: 5777: pai:2 nivel:1
vertice: 5788: pai:2 nivel:1
vertice: 5799: pai:2 nivel:1
vertice: 737: pai:2 nivel:1
vertice: 5970: pai:2 nivel:1
vertice: 5972: pai:2 nivel:1
vertice: 403: pai:2 nivel:1
vertice: 6057: pai:2 nivel:1
vertice: 6056: pai:2 nivel:1
vertice: 6078: pai:2 nivel:1
vertice: 688: pai:2 nivel:1
vertice: 6130: pai:2 nivel:1
vertice: 6131: pai:2 nivel:1
vertice: 6157: pai:2 nivel:1
vertice: 6216: pai:2 nivel:1
vertice: 2312: pai:2 nivel:1
vertice: 6255: pai:2 nivel:1
vertice: 6262: pai:2 nivel:1
vertice: 6287: pai:2 nivel:1
vertice: 6156: pai:2 nivel:1
vertice: 2352: pai:2 nivel:1
vertice: 6472: pai:2 nivel:1
vertice: 6503: pai:2 nivel:1
vertice: 3504: pai:2 nivel:1
vertice: 6573: pai:2 nivel:1
vertice: 1786: pai:2 nivel:1
vertice: 3526: pai:2 nivel:1
vertice: 6867: pai:2 nivel:1
vertice: 6912: pai:2 nivel:1
vertice: 6939: pai:2 nivel:1
vertice: 6955: pai:2 nivel:1
vertice: 7037: pai:2 nivel:1
vertice: 2444: pai:2 nivel:1
vertice: 7073: pai:2 nivel:1
vertice: 3644: pai:2 nivel:1
vertice: 7133: pai:2 nivel:1
vertice: 6935: pai:2 nivel:1
vertice: 7178: pai:2 nivel:1
vertice: 7166: pai:2 nivel:1
vertice: 7359: pai:2 nivel:1
vertice: 7406: pai:2 nivel:1
vertice: 7408: pai:2 nivel:1
vertice: 7420: pai:2 nivel:1
vertice: 7455: pai:2 nivel:1
vertice: 3735: pai:2 nivel:1
vertice: 7486: pai:2 nivel:1
vertice: 7488: pai:2 nivel:1
vertice: 7499: pai:2 nivel:1
vertice: 2490: pai:2 nivel:1
vertice: 7427: pai:2 nivel:1
vertice: 3481: pai:2 nivel:1
vertice: 3765: pai:2 nivel:1
vertice: 7566: pai:2 nivel:1
vertice: 7646: pai:2 nivel:1
vertice: 7625: pai:2 nivel:1
vertice: 7684: pai:2 nivel:1
vertice: 8065: pai:2 nivel:1
vertice: 8101: pai:2 nivel:1
vertice: 8131: pai:2 nivel:1
vertice: 8111: pai:2 nivel:1
vertice: 8177: pai:2 nivel:1
vertice: 8188: pai:2 nivel:1
vertice: 8241: pai:2 nivel:1
vertice: 8273: pai:2 nivel:1
vertice: 8317: pai:2 nivel:1
vertice: 8356: pai:2 nivel:1
vertice: 8371: pai:2 nivel:1
vertice: 8382: pai:2 nivel:1
vertice: 8385: pai:2 nivel:1
vertice: 3959: pai:2 nivel:1
vertice: 8369: pai:2 nivel:1
vertice: 2584: pai:2 nivel:1
